Date,Income
2019-01-01,10993.428306022466
2019-02-01,9723.471397657631
2019-03-01,11295.377076201385
2019-04-01,13046.059712816052
2019-05-01,9531.693250553328
2019-06-01,9531.726086101638
2019-07-01,13158.425631014783
2019-08-01,11534.869458305817
2019-09-01,9061.051228130096
2019-10-01,11085.12008717193
2019-11-01,9073.164614375075
2019-12-01,9068.540492859487
2020-01-01,10483.924543132069
2020-02-01,6173.439510684404
2020-03-01,6550.164334973934
2020-04-01,8875.424941518055
2020-05-01,7974.3377593311525
2020-06-01,10628.494665190548
2020-07-01,8183.9518489575785
2020-08-01,7175.392597329417
2020-09-01,12931.297537843107
2020-10-01,9548.447399026929
2020-11-01,10135.056409375848
2020-12-01,7150.503627573086
2021-01-01,8911.234550949635
2021-02-01,10221.845179419732
2021-03-01,7698.012845155394
2021-04-01,10751.396036691343
2021-05-01,8798.72262016239
2021-06-01,9416.612500413446
2021-07-01,8796.586775541205
2021-08-01,13704.556369017875
2021-09-01,9973.005550524133
2021-10-01,7884.5781420881995
2021-11-01,11645.089824206378
2021-12-01,7558.312700057955
2022-01-01,10417.727190009511
2022-02-01,6080.659752240449
2022-03-01,7343.6279022031395
2022-04-01,10393.722471738247
2022-05-01,11476.933159990822
2022-06-01,10342.736562379941
2022-07-01,9768.703435223519
2022-08-01,9397.792608821423
2022-09-01,7042.956019265145
2022-10-01,8560.311583210583
2022-11-01,9078.722458080425
2022-12-01,12114.244452437832
2023-01-01,10687.236579136923
2023-02-01,6473.919689274532
2023-03-01,10648.16793878959
2023-04-01,9229.835439167367
2023-05-01,8646.155999388082
2023-06-01,11223.352577681735
2023-07-01,12061.999044991902
2023-08-01,11862.560238232398
2023-09-01,8321.564953554724
2023-10-01,9381.575248297571
2023-11-01,10662.526862807128
2023-12-01,11951.090254244718
